School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
PACIFIC LEARNING ACADEMY,PRIVATE SCHOOL,2016-17,N,ISSAQUAH SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"22525 SE 64TH PL
ISSAQUAH
(47.5438469, -122.03891)"
EMERSON K-12 (FAMILY LEARNING CENTER),PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,K -12,7,71.4,0,14.3,14.3,0,14.3,0,0,71.4,71.4,85.7,85.7,85.7,85.7,"10903 NE 53RD STREET
KIRKLAND
(47.6551131, -122.1950142)"
LAKOTA MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,257,66.5,0,28.4,5.1,0.4,3.9,0,0,66.5,66.5,96.5,94.9,95.7,94.6,"1415 SW 314TH ST
FEDERAL WAY
(47.320022, -122.354372)"
HILLSIDE ACADEMY,PRIVATE SCHOOL,2016-17,Y,RIVERVIEW SCHOOL DISTRICT,P-6,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"15520 MAIN ST NE
DUVALL
(47.7402605, -121.9859762)"
ST. ALPHONSUS SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,32,96.9,0,0,3.1,0,3.1,0,0,100,100,100,100,100,96.9,"5816 15TH AVE NW
SEATTLE
(47.6713791, -122.3753993)"
SHORELINE CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,P-12,17,82.4,0,0,17.6,0,17.6,0,0,82.4,82.4,88.2,88.2,88.2,88.2,"2400 NE 147TH ST
SEATTLE
(47.73575, -122.303106)"
ACADEMY FOR PRECISION LEARNING,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-9,8,75,0,0,25,25,0,0,0,87.5,87.5,87.5,87.5,87.5,75,"5031 UNIVERSITY WAY NE
SEATTLE
(47.665772, -122.313587)"
GLENDALE LUTHERAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,P-8,7,71.4,0,0,28.6,0,28.6,0,0,71.4,71.4,71.4,71.4,71.4,71.4,"13455 2ND AVE SW
BURIEN
(47.4818525, -122.3370733)"
NELSEN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,6-8,347,85.3,0,8.1,6.6,1.2,5.8,0,0,87.9,88.8,96.3,96.3,96.5,95.7,"2403 JONES AVE S
RENTON
(47.4571097, -122.197923)"
INGLEWOOD MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,413,92.5,0,0.7,6.8,1.9,4.6,0.5,0,96.1,96.1,98.1,97.3,96.4,96.6,"24120 NE 8TH ST
SAMMAMISH
(47.6185463, -122.0175343)"
